type,engine,experiment,count
ValidationResult,corese,ES_core,9010
ValidationResult,corese,ES_era,9010
ValidationResult,corese,ES_tds,8964
ValidationResult,corese,FR_core,546710
ValidationResult,corese,FR_tds,499083
ValidationResult,dotnet_rdf,ES_core,9010
ValidationResult,dotnet_rdf,ES_era,12395
ValidationResult,dotnet_rdf,ES_tds,8964
ValidationResult,dotnet_rdf,FR_core,524014
ValidationResult,dotnet_rdf,FR_tds,499083
ValidationResult,jena,ES_core,9010
ValidationResult,jena,ES_era,12395
ValidationResult,jena,ES_tds,8964
ValidationResult,jena,FR_core,546710
ValidationResult,jena,FR_era,558733
ValidationResult,jena,FR_tds,499083
ValidationResult,maplib,ES_core,8990
ValidationResult,maplib,ES_era,12375
ValidationResult,maplib,ES_tds,8963
ValidationResult,maplib,FR_core,499097
ValidationResult,maplib,FR_tds,499083
ValidationResult,pyshacl,ES_core,9002
ValidationResult,pyshacl,ES_era,12387
ValidationResult,pyshacl,ES_tds,8963
ValidationResult,pyshacl,FR_core,499125
ValidationResult,pyshacl,FR_tds,499083
ValidationResult,rdf4j,ES_core,4876
ValidationResult,rdf4j,ES_era,0
ValidationResult,rdf4j,ES_tds,0
ValidationResult,rdf4j,FR_core,23085
ValidationResult,rdf4j,FR_era,0
ValidationResult,rdf4j,FR_tds,0
ValidationResult,rdfunit,ES_core,9002
ValidationResult,rdfunit,ES_era,9002
ValidationResult,rdfunit,ES_tds,8964
ValidationResult,rdfunit,FR_core,546696
ValidationResult,rdfunit,FR_era,546696
ValidationResult,rdfunit,FR_tds,499083
ValidationResult,topbraid,ES_core,9010
ValidationResult,topbraid,ES_era,12395
ValidationResult,topbraid,ES_tds,8964
ValidationResult,topbraid,FR_core,546710
ValidationResult,topbraid,FR_era,558733
ValidationResult,topbraid,FR_tds,499083
ValidationResult,dotnet_rdf,ERA_tds,1028846
ValidationResult,jena,ERA_core,1096771
ValidationResult,jena,ERA_era,3399948
ValidationResult,jena,ERA_tds,1028846
ValidationResult,maplib,ERA_core,1027063
ValidationResult,maplib,ERA_era,3330240
ValidationResult,maplib,ERA_tds,1014744
ValidationResult,maplib,FR_era,966871
ValidationResult,rdf4j,ERA_core,34271
ValidationResult,rdf4j,ERA_era,0
ValidationResult,rdf4j,ERA_tds,0
ValidationResult,rdfunit,ERA_core,1094302
ValidationResult,rdfunit,ERA_era,1094302
ValidationResult,rdfunit,ERA_tds,1022659
ValidationResult,topbraid,ERA_core,1096771
ValidationResult,topbraid,ERA_era,3399948
ValidationResult,topbraid,ERA_tds,1028846
SPARQLConstraintComponent,corese,ES_core,0
SPARQLConstraintComponent,corese,ES_era,0
SPARQLConstraintComponent,corese,ES_tds,0
SPARQLConstraintComponent,corese,FR_core,0
SPARQLConstraintComponent,corese,FR_tds,0
SPARQLConstraintComponent,dotnet_rdf,ES_core,0
SPARQLConstraintComponent,dotnet_rdf,ES_era,3385
SPARQLConstraintComponent,dotnet_rdf,ES_tds,0
SPARQLConstraintComponent,dotnet_rdf,FR_core,0
SPARQLConstraintComponent,dotnet_rdf,FR_tds,0
SPARQLConstraintComponent,jena,ES_core,0
SPARQLConstraintComponent,jena,ES_era,3385
SPARQLConstraintComponent,jena,ES_tds,0
SPARQLConstraintComponent,jena,FR_core,0
SPARQLConstraintComponent,jena,FR_era,12023
SPARQLConstraintComponent,jena,FR_tds,0
SPARQLConstraintComponent,maplib,ES_core,0
SPARQLConstraintComponent,maplib,ES_era,3385
SPARQLConstraintComponent,maplib,ES_tds,0
SPARQLConstraintComponent,maplib,FR_core,0
SPARQLConstraintComponent,maplib,FR_tds,0
SPARQLConstraintComponent,pyshacl,ES_core,0
SPARQLConstraintComponent,pyshacl,ES_era,3385
SPARQLConstraintComponent,pyshacl,ES_tds,0
SPARQLConstraintComponent,pyshacl,FR_core,0
SPARQLConstraintComponent,pyshacl,FR_tds,0
SPARQLConstraintComponent,rdf4j,ES_core,0
SPARQLConstraintComponent,rdf4j,ES_era,0
SPARQLConstraintComponent,rdf4j,ES_tds,0
SPARQLConstraintComponent,rdf4j,FR_core,0
SPARQLConstraintComponent,rdf4j,FR_era,0
SPARQLConstraintComponent,rdf4j,FR_tds,0
SPARQLConstraintComponent,rdfunit,ES_core,0
SPARQLConstraintComponent,rdfunit,ES_era,0
SPARQLConstraintComponent,rdfunit,ES_tds,0
SPARQLConstraintComponent,rdfunit,FR_core,0
SPARQLConstraintComponent,rdfunit,FR_era,0
SPARQLConstraintComponent,rdfunit,FR_tds,0
SPARQLConstraintComponent,topbraid,ES_core,0
SPARQLConstraintComponent,topbraid,ES_era,3385
SPARQLConstraintComponent,topbraid,ES_tds,0
SPARQLConstraintComponent,topbraid,FR_core,0
SPARQLConstraintComponent,topbraid,FR_era,12023
SPARQLConstraintComponent,topbraid,FR_tds,0
SPARQLConstraintComponent,dotnet_rdf,ERA_tds,6187
SPARQLConstraintComponent,jena,ERA_core,0
SPARQLConstraintComponent,jena,ERA_era,2303177
SPARQLConstraintComponent,jena,ERA_tds,6187
SPARQLConstraintComponent,maplib,ERA_core,0
SPARQLConstraintComponent,maplib,ERA_era,2303177
SPARQLConstraintComponent,maplib,ERA_tds,6187
SPARQLConstraintComponent,maplib,FR_era,467774
SPARQLConstraintComponent,rdf4j,ERA_core,0
SPARQLConstraintComponent,rdf4j,ERA_era,0
SPARQLConstraintComponent,rdf4j,ERA_tds,0
SPARQLConstraintComponent,rdfunit,ERA_core,0
SPARQLConstraintComponent,rdfunit,ERA_era,0
SPARQLConstraintComponent,rdfunit,ERA_tds,0
SPARQLConstraintComponent,topbraid,ERA_core,0
SPARQLConstraintComponent,topbraid,ERA_era,2303177
SPARQLConstraintComponent,topbraid,ERA_tds,6187
PatternConstraintComponent,corese,ES_core,8
PatternConstraintComponent,corese,ES_era,8
PatternConstraintComponent,corese,ES_tds,1
PatternConstraintComponent,corese,FR_core,47585
PatternConstraintComponent,corese,FR_tds,0
PatternConstraintComponent,dotnet_rdf,ES_core,8
PatternConstraintComponent,dotnet_rdf,ES_era,8
PatternConstraintComponent,dotnet_rdf,ES_tds,1
